_LOCATION_,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag_Codes
AGO,OILPROD,TOT,KTOE,A,2001,37234.6504,
AGO,OILPROD,TOT,KTOE,A,2012,87226.6278,
AGO,OILPROD,TOT,KTOE,A,2017,79002.4778,
AGO,OILPROD,TOT,KTOE,A,2004,50481.0337,
AGO,OILPROD,TOT,KTOE,A,2010,89725.0014,
AGO,OILPROD,TOT,KTOE,A,2013,87578.8709,
AGO,OILPROD,TOT,KTOE,A,2011,82598.4594,
AGO,OILPROD,TOT,KTOE,A,2019,66442.8144,
AGO,OILPROD,TOT,KTOE,A,2020,61704.4501,
AGO,OILPROD,TOT,KTOE,A,2015,90844.0115,
AGO,OILPROD,TOT,KTOE,A,2016,86239.326,
AGO,OILPROD,TOT,KTOE,A,2005,63622.2547,
AGO,OILPROD,TOT,KTOE,A,2021,54447.0524,
AGO,OILPROD,TOT,KTOE,A,2014,85338.8088,
AGO,OILPROD,TOT,KTOE,A,2002,44969.7051,
AGO,OILPROD,TOT,KTOE,A,2008,97302.823,
AGO,OILPROD,TOT,KTOE,A,2018,71577.4328,
AGO,OILPROD,TOT,KTOE,A,2003,44651.1548,
AGO,OILPROD,TOT,KTOE,A,2007,86690.6056,
AGO,OILPROD,TOT,KTOE,A,2006,71973.9901,
AGO,OILPROD,TOT,KTOE,A,2009,92346.9154,
ALB,OILPROD,TOT,KTOE,A,2009,577,
ALB,OILPROD,TOT,KTOE,A,2017,958.936,
ALB,OILPROD,TOT,KTOE,A,2016,1056,
ALB,OILPROD,TOT,KTOE,A,2010,744,
ALB,OILPROD,TOT,KTOE,A,2021,712.4,
ALB,OILPROD,TOT,KTOE,A,2008,578,
ALB,OILPROD,TOT,KTOE,A,2018,910.67,
ALB,OILPROD,TOT,KTOE,A,2001,308,
ALB,OILPROD,TOT,KTOE,A,2014,1368,
ALB,OILPROD,TOT,KTOE,A,2013,1207,
ALB,OILPROD,TOT,KTOE,A,2005,418,
ALB,OILPROD,TOT,KTOE,A,2011,895,
ALB,OILPROD,TOT,KTOE,A,2012,1031,
ALB,OILPROD,TOT,KTOE,A,2019,1005.088,
ALB,OILPROD,TOT,KTOE,A,2020,758.17,
ALB,OILPROD,TOT,KTOE,A,2006,500,
ALB,OILPROD,TOT,KTOE,A,2004,443,
ALB,OILPROD,TOT,KTOE,A,2007,564,
ALB,OILPROD,TOT,KTOE,A,2015,1279,
ALB,OILPROD,TOT,KTOE,A,2002,371,
